NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                            MESSAGE
observability   31m         Normal    Scheduled           pod/obs-kube-prometheus-stack-operator-564779d846-c9tbp           Successfully assigned observability/obs-kube-prometheus-stack-operator-564779d846-c9tbp to minikube
observability   31m         Normal    Pulling             pod/obs-kube-prometheus-stack-operator-564779d846-c9tbp           Pulling image "quay.io/prometheus-operator/prometheus-operator:v0.89.0"
observability   31m         Normal    Pulling             pod/obs-kube-state-metrics-5f4cc9b856-qkxb8                       Pulling image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.18.0"
observability   31m         Normal    Scheduled           pod/obs-kube-state-metrics-5f4cc9b856-qkxb8                       Successfully assigned observability/obs-kube-state-metrics-5f4cc9b856-qkxb8 to minikube
observability   31m         Normal    ScalingReplicaSet   deployment/obs-kube-prometheus-stack-operator                     Scaled up replica set obs-kube-prometheus-stack-operator-564779d846 from 0 to 1
observability   31m         Normal    SuccessfulCreate    replicaset/obs-kube-prometheus-stack-operator-564779d846          Created pod: obs-kube-prometheus-stack-operator-564779d846-c9tbp
observability   31m         Normal    Created             pod/obs-kube-prometheus-stack-admission-patch-j9w47               Container created
observability   31m         Normal    Scheduled           pod/obs-kube-prometheus-stack-admission-patch-j9w47               Successfully assigned observability/obs-kube-prometheus-stack-admission-patch-j9w47 to minikube
observability   31m         Normal    Pulled              pod/obs-kube-prometheus-stack-admission-patch-j9w47               Container image "ghcr.io/jkroepke/kube-webhook-certgen:1.7.8" already present on machine and can be accessed by the pod
observability   31m         Normal    SuccessfulCreate    job/obs-kube-prometheus-stack-admission-patch                     Created pod: obs-kube-prometheus-stack-admission-patch-j9w47
observability   31m         Normal    Started             pod/obs-kube-prometheus-stack-admission-patch-j9w47               Container started
observability   31m         Normal    Started             pod/obs-prometheus-node-exporter-xl4d6                            Container started
observability   31m         Normal    Pulled              pod/obs-prometheus-node-exporter-xl4d6                            Successfully pulled image "quay.io/prometheus/node-exporter:v1.10.2" in 2.819s (2.819s including waiting). Image size: 24476137 bytes.
observability   31m         Normal    Created             pod/obs-prometheus-node-exporter-xl4d6                            Container created
observability   31m         Normal    Completed           job/obs-kube-prometheus-stack-admission-patch                     Job completed
