NAMESPACE       LAST SEEN   TYPE      REASON              OBJECT                                                      MESSAGE
ob-app          12h         Warning   Unhealthy           pod/paymentservice-7cff85ccd7-hng66                         Readiness probe failed: Get "http://10.244.0.12:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
observability   12h         Warning   Unhealthy           pod/obs-grafana-7d5dcb6bd5-8mnwf                            Liveness probe failed: Get "http://10.244.0.19:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   Unhealthy           pod/currencyservice-7f9f695db5-rbzwx                        Readiness probe failed: Get "http://10.244.0.7:15020/app-health/server/readyz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
observability   12h         Warning   Unhealthy           pod/obs-grafana-7d5dcb6bd5-8mnwf                            Readiness probe failed: Get "http://10.244.0.19:3000/api/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
kube-system     12h         Warning   Unhealthy           pod/kube-apiserver-minikube                                 Readiness probe failed: Get "https://192.168.49.2:8443/readyz": net/http: request canceled while waiting for connection (Client.Timeout exceeded while awaiting headers)
mesh-app        12h         Warning   FailedMount         pod/productcatalogservice-54c86d9f79-7hx4l                  MountVolume.SetUp failed for volume "kube-api-access-qjdg5" : token "productcatalogservice"/"mesh-app"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"productcatalogservice-54c86d9f79-7hx4l", UID:"a0a53d71-6a82-4c21-964b-5f147c641a84"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/productcatalogservice/token": dial tcp 192.168.49.2:8443: i/o timeout
istio-system    12h         Warning   FailedMount         pod/istio-egressgateway-74b45df455-98fvh                    MountVolume.SetUp failed for volume "kube-api-access-mmpzm" : token "istio-egressgateway-service-account"/"istio-system"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"istio-egressgateway-74b45df455-98fvh", UID:"2e9b2423-6d72-4e3a-8e11-38d7cc47061e"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/istio-system/serviceaccounts/istio-egressgateway-service-account/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        12h         Warning   FailedMount         pod/reviews-v3-78c8846d54-kj2tt                             MountVolume.SetUp failed for volume "kube-api-access-bkm9f" : token "bookinfo-reviews"/"mesh-app"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"reviews-v3-78c8846d54-kj2tt", UID:"f7e98b47-c178-469d-9c7d-56503c29b76a"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-reviews/token": dial tcp 192.168.49.2:8443: i/o timeout
kube-system     12h         Warning   FailedMount         pod/kindnet-wwb4c                                           MountVolume.SetUp failed for volume "kube-api-access-2lm7w" : token "kindnet"/"kube-system"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"kindnet-wwb4c", UID:"5e1f4505-337f-41f6-9a7c-c2ac2b10ce1a"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/kube-system/serviceaccounts/kindnet/token": dial tcp 192.168.49.2:8443: i/o timeout
observability   12h         Warning   Unhealthy           pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Liveness probe failed: Get "http://10.244.1.9:8080/livez": dial tcp 10.244.1.9:8080: connect: connection refused
observability   12h         Warning   Unhealthy           pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Readiness probe failed: Get "http://10.244.1.9:8081/readyz": dial tcp 10.244.1.9:8081: connect: connection refused
observability   12h         Warning   FailedMount         pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 MountVolume.SetUp failed for volume "kube-api-access-hjs5v" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/observability/serviceaccounts/obs-kube-state-metrics/token": dial tcp 192.168.49.2:8443: i/o timeout
observability   12h         Warning   BackOff             pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Back-off restarting failed container kube-state-metrics in pod obs-kube-state-metrics-5f4cc9b856-fcxgc_observability(d9798582-66ee-47f0-9fe1-84305be2d177)
ob-app          12h         Warning   FailedMount         pod/loadgenerator-69fdddd69d-2t4t5                          MountVolume.SetUp failed for volume "kube-api-access-vk4j5" : token "loadgenerator"/"ob-app"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"loadgenerator-69fdddd69d-2t4t5", UID:"fd03ffbb-856b-4264-95f3-e7968a60cba1"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/loadgenerator/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          12h         Warning   FailedMount         pod/adservice-7bb8787db5-dpt5p                              MountVolume.SetUp failed for volume "kube-api-access-2t8s7" : token "adservice"/"ob-app"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"adservice-7bb8787db5-dpt5p", UID:"8d9bdf51-d6f3-477c-bb38-1a477d2105f9"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/adservice/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          12h         Warning   FailedMount         pod/recommendationservice-6d8ddf5d5f-qkh5d                  MountVolume.SetUp failed for volume "kube-api-access-5zllq" : token "recommendationservice"/"ob-app"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"recommendationservice-6d8ddf5d5f-qkh5d", UID:"6d2e001a-f152-4c70-8225-184fdf42f6f8"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/recommendationservice/token": dial tcp 192.168.49.2:8443: i/o timeout
observability   11h         Warning   FailedMount         pod/otel-collector-5cbdc4f9c4-rlz7b                         MountVolume.SetUp failed for volume "kube-api-access-lhnkx" : token "default"/"observability"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"otel-collector-5cbdc4f9c4-rlz7b", UID:"b573db3a-d08f-4ade-987c-a40ac9815461"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/observability/serviceaccounts/default/token": dial tcp 192.168.49.2:8443: i/o timeout
ob-app          11h         Warning   FailedMount         pod/emailservice-58dc4788c5-xjgq9                           MountVolume.SetUp failed for volume "kube-api-access-cnv66" : token "emailservice"/"ob-app"/[]string(nil)/3607/v1.BoundObjectReference{Kind:"Pod", APIVersion:"v1", Name:"emailservice-58dc4788c5-xjgq9", UID:"8b5da5f7-b5af-458f-9364-6b119091344c"}/"" expired and refresh failed: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/ob-app/serviceaccounts/emailservice/token": dial tcp 192.168.49.2:8443: i/o timeout
observability   11h         Warning   Unhealthy           pod/obs-prometheus-node-exporter-znvjs                      Readiness probe failed: Get "http://192.168.49.2:9100/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
observability   11h         Normal    Created             pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Container created
observability   11h         Normal    Started             pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Container started
observability   11h         Normal    Killing             pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Container kube-state-metrics failed liveness probe, will be restarted
observability   11h         Normal    Pulled              pod/obs-kube-state-metrics-5f4cc9b856-fcxgc                 Container image "registry.k8s.io/kube-state-metrics/kube-state-metrics:v2.18.0" already present on machine and can be accessed by the pod
mesh-app        11h         Warning   FailedMount         pod/reviews-v3-78c8846d54-kj2tt                             MountVolume.SetUp failed for volume "kube-api-access-bkm9f" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-reviews/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/recommendationservice-6d8ddf5d5f-8p7mq                  MountVolume.SetUp failed for volume "kube-api-access-c4bv8" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/recommendationservice/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/ratings-v1-798bd9b5d-vg7gx                              MountVolume.SetUp failed for volume "kube-api-access-d4mdn" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-ratings/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/reviews-v1-b4745c9bb-hgxtm                              MountVolume.SetUp failed for volume "kube-api-access-gqrnd" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/bookinfo-reviews/token": dial tcp 192.168.49.2:8443: i/o timeout
kube-system     11h         Warning   FailedMount         pod/kindnet-wwb4c                                           MountVolume.SetUp failed for volume "kube-api-access-2lm7w" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/kube-system/serviceaccounts/kindnet/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/frontend-76c94f7cfb-kckws                               MountVolume.SetUp failed for volume "kube-api-access-qlrcj" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/frontend/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/emailservice-58dc4788c5-cv8x6                           MountVolume.SetUp failed for volume "kube-api-access-5md9d" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/emailservice/token": dial tcp 192.168.49.2:8443: i/o timeout
mesh-app        11h         Warning   FailedMount         pod/productcatalogservice-54c86d9f79-7hx4l                  MountVolume.SetUp failed for volume "kube-api-access-qjdg5" : failed to fetch token: Post "https://control-plane.minikube.internal:8443/api/v1/namespaces/mesh-app/serviceaccounts/productcatalogservice/token": dial tcp 192.168.49.2:8443: i/o timeout
