NAMESPACE       NAME                                                    READY   STATUS      RESTARTS        AGE     IP             NODE           NOMINATED NODE   READINESS GATES
ob-app          loadgen-exp-011304-979h5                                0/2     Completed   0               14h     10.244.1.32    minikube-m02   <none>           <none>
ob-app          loadgen-exp-011823-snhqr                                0/2     Completed   0               14h     10.244.1.34    minikube-m02   <none>           <none>
ob-app          loadgen-exp-131219-92cqc                                0/2     Completed   0               26h     10.244.1.28    minikube-m02   <none>           <none>
ob-app          loadgen-exp-134954-mjqb6                                0/2     Completed   0               26h     10.244.1.30    minikube-m02   <none>           <none>
ob-app          loadgen-exp-154905-j5mjm                                0/2     Completed   0               6m23s   <none>         minikube-m02   <none>           <none>
ob-app          loadgen-exp-155239-mrwxv                                0/2     Completed   0               2m49s   10.244.1.62    minikube-m02   <none>           <none>
ob-app          loadgenerator-69fdddd69d-2t4t5                          2/2     Running     1 (8m23s ago)   26h     10.244.1.52    minikube-m02   <none>           <none>
ob-app          paymentservice-7cff85ccd7-hng66                         2/2     Running     8 (9m39s ago)   26h     10.244.0.31    minikube       <none>           <none>
ob-app          productcatalogservice-54c86d9f79-nfv9q                  2/2     Running     6 (9m51s ago)   26h     10.244.0.27    minikube       <none>           <none>
ob-app          recommendationservice-6d8ddf5d5f-qkh5d                  2/2     Running     1 (8m21s ago)   26h     10.244.1.47    minikube-m02   <none>           <none>
ob-app          redis-cart-6899b65948-87b5c                             2/2     Running     5 (9m47s ago)   26h     10.244.0.34    minikube       <none>           <none>
ob-app          shippingservice-846f8585d7-hsc26                        2/2     Running     2 (7m49s ago)   26h     10.244.1.54    minikube-m02   <none>           <none>
observability   alertmanager-obs-kube-prometheus-stack-alertmanager-0   2/2     Running     4 (8m33s ago)   39h     10.244.1.38    minikube-m02   <none>           <none>
observability   jaeger-7dc86c798f-85zxd                                 1/1     Running     2 (9m41s ago)   39h     10.244.0.22    minikube       <none>           <none>
observability   obs-grafana-7d5dcb6bd5-8mnwf                            3/3     Running     3 (9m40s ago)   26h     10.244.0.23    minikube       <none>           <none>
observability   obs-kube-prometheus-stack-operator-64496c4978-4b4vq     1/1     Running     11 (12h ago)    26h     10.244.0.24    minikube       <none>           <none>
observability   obs-kube-state-metrics-5f4cc9b856-fcxgc                 1/1     Running     243 (13m ago)   39h     10.244.1.42    minikube-m02   <none>           <none>
observability   obs-prometheus-node-exporter-6c5vm                      1/1     Running     2 (8m32s ago)   39h     192.168.49.3   minikube-m02   <none>           <none>
observability   obs-prometheus-node-exporter-znvjs                      1/1     Running     7 (9m50s ago)   39h     192.168.49.2   minikube       <none>           <none>
observability   otel-collector-569b58c465-rl9gk                         1/1     Running     0               2m57s   10.244.1.61    minikube-m02   <none>           <none>
observability   prometheus-obs-kube-prometheus-stack-prometheus-0       2/2     Running     7 (9m41s ago)   39h     10.244.0.33    minikube       <none>           <none>
