NAMESPACE       LAST SEEN   TYPE      REASON                 OBJECT                                                    MESSAGE
mesh-app        35m         Normal    SuccessfulDelete       replicaset/productpage-887586f7d                          Deleted pod: productpage-887586f7d-qw7pc
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled down replica set productpage-887586f7d from 1 to 0
mesh-app        35m         Normal    Killing                pod/productpage-887586f7d-qw7pc                           Stopping container productpage
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled down replica set productpage-69974f894d from 1 to 0
mesh-app        35m         Normal    Scheduled              pod/productpage-69974f894d-qh4vc                          Successfully assigned mesh-app/productpage-69974f894d-qh4vc to minikube
mesh-app        35m         Normal    SuccessfulDelete       replicaset/productpage-69974f894d                         Deleted pod: productpage-69974f894d-qh4vc
mesh-app        35m         Normal    SuccessfulCreate       replicaset/productpage-7fbc6479cb                         Created pod: productpage-7fbc6479cb-pwnnp
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled up replica set productpage-7fbc6479cb from 0 to 1
mesh-app        35m         Normal    SuccessfulCreate       replicaset/productpage-69974f894d                         Created pod: productpage-69974f894d-qh4vc
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled up replica set productpage-69974f894d from 0 to 1
mesh-app        35m         Normal    Scheduled              pod/productpage-7fbc6479cb-pwnnp                          Successfully assigned mesh-app/productpage-7fbc6479cb-pwnnp to minikube
mesh-app        35m         Normal    Pulled                 pod/productpage-7fbc6479cb-pwnnp                          Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Created                pod/productpage-7fbc6479cb-pwnnp                          Container created
mesh-app        35m         Normal    Pulled                 pod/productpage-7fbc6479cb-pwnnp                          Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Started                pod/productpage-7fbc6479cb-pwnnp                          Container started
mesh-app        35m         Normal    Started                pod/productpage-7fbc6479cb-pwnnp                          Container started
mesh-app        35m         Normal    Created                pod/productpage-7fbc6479cb-pwnnp                          Container created
mesh-app        35m         Normal    Started                pod/productpage-7fbc6479cb-pwnnp                          Container started
mesh-app        35m         Normal    Pulled                 pod/productpage-7fbc6479cb-pwnnp                          Container image "docker.io/istio/examples-bookinfo-productpage-v1:1.20.3" already present on machine and can be accessed by the pod
mesh-app        35m         Normal    Created                pod/productpage-7fbc6479cb-pwnnp                          Container created
mesh-app        35m         Normal    ScalingReplicaSet      deployment/productpage                                    Scaled down replica set productpage-5c9b6ddf7 from 1 to 0
mesh-app        35m         Normal    Killing                pod/productpage-5c9b6ddf7-mpkqn                           Stopping container istio-proxy
mesh-app        35m         Normal    Killing                pod/productpage-5c9b6ddf7-mpkqn                           Stopping container productpage
mesh-app        35m         Normal    SuccessfulDelete       replicaset/productpage-5c9b6ddf7                          Deleted pod: productpage-5c9b6ddf7-mpkqn
observability   34m         Normal    Scheduled              pod/otel-collector-6f869fc9d4-wn5h4                       Successfully assigned observability/otel-collector-6f869fc9d4-wn5h4 to minikube
observability   34m         Normal    ScalingReplicaSet      deployment/otel-collector                                 Scaled up replica set otel-collector-6f869fc9d4 from 0 to 1
observability   34m         Normal    Pulled                 pod/otel-collector-6f869fc9d4-wn5h4                       Container image "otel/opentelemetry-collector-contrib:0.95.0" already present on machine and can be accessed by the pod
observability   34m         Normal    Created                pod/otel-collector-6f869fc9d4-wn5h4                       Container created
observability   34m         Normal    SuccessfulCreate       replicaset/otel-collector-6f869fc9d4                      Created pod: otel-collector-6f869fc9d4-wn5h4
observability   34m         Normal    Started                pod/otel-collector-6f869fc9d4-wn5h4                       Container started
observability   34m         Normal    ScalingReplicaSet      deployment/otel-collector                                 Scaled down replica set otel-collector-58c65f774c from 1 to 0
observability   34m         Normal    Killing                pod/otel-collector-58c65f774c-ks7n4                       Stopping container otel-collector
observability   34m         Normal    SuccessfulDelete       replicaset/otel-collector-58c65f774c                      Deleted pod: otel-collector-58c65f774c-ks7n4
mesh-app        34m         Normal    Scheduled              pod/loadgen-exp-030848-lm49t                              Successfully assigned mesh-app/loadgen-exp-030848-lm49t to minikube
mesh-app        34m         Normal    SuccessfulCreate       job/loadgen-exp-030848                                    Created pod: loadgen-exp-030848-lm49t
mesh-app        34m         Normal    Started                pod/loadgen-exp-030848-lm49t                              Container started
mesh-app        34m         Normal    Started                pod/loadgen-exp-030848-lm49t                              Container started
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-lm49t                              Container created
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-lm49t                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-lm49t                              Container created
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-lm49t                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
mesh-app        34m         Normal    Pulling                pod/loadgen-exp-030848-lm49t                              Pulling image "fortio/fortio:1.63.0"
mesh-app        34m         Warning   Failed                 pod/loadgen-exp-030848-lm49t                              Error: failed to start container "fortio": Error response from daemon: failed to create task for container: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: error during container init: exec: "/bin/sh": stat /bin/sh: no such file or directory
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-lm49t                              Container created
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-lm49t                              Successfully pulled image "fortio/fortio:1.63.0" in 3.07s (3.07s including waiting). Image size: 12600081 bytes.
mesh-app        34m         Normal    Killing                pod/loadgen-exp-030848-lm49t                              Stopping container istio-proxy
mesh-app        34m         Normal    Created                pod/loadgen-exp-030848-m594p                              Container created
mesh-app        34m         Normal    SuccessfulCreate       job/loadgen-exp-030848                                    Created pod: loadgen-exp-030848-m594p
mesh-app        34m         Normal    Started                pod/loadgen-exp-030848-m594p                              Container started
mesh-app        34m         Normal    Pulled                 pod/loadgen-exp-030848-m594p                              Container image "docker.io/istio/proxyv2:1.29.0" already present on machine and can be accessed by the pod
